Nave,Tipo,Passageiro_1,ID_1,Idade_1,Planeta_1,Passageiro_2,ID_2,Idade_2,Planeta_2,Passageiro_3,ID_3,Idade_3,Planeta_3,Suprimento_1,Suprimento_2,Suprimento_3
Electron II,Cargas,Jorvax,90345,401,Mintaka b,Jornix,90326,307,Deneb d,Krandor,67892,276,Sargas f,Turmalina,Aspargo Aurora,Caderno da Estrela Viajante
H-I,Viametro,Ithril,67856,113,Capella a,Ithran,67821,195,Alpha Centauri c,Xyntar,54323,499,Achernar f,Espinela,Waffles do Buraco de Minhoca,Auricular Telepático
Long March 3B,Refugiados,Horkal,34521,98,Rigel b,Hylara,34567,292,Proxima Centauri f,Zandor,87656,137,Hamal c,Bismutina,Néctar da Nebulosa,Sapatos que Desafiam a Gravidade
New Glenn,Policial,Gryndor,67809,226,Vega c,Gryndak,67823,112,Bellatrix f,Mylorn,21000,327,Castor f,Ônix,Pipoca Fóton,Dispensador de Petiscos Quânticos
Vega C,Cargas,Fyndar,89021,146,Polaris b,Fyndra,89094,484,Alphard d,Zyndal,34569,73,Alphard e,Jaspalita,Fajitas de Fusão,Leitor Exo de E-books
Ariane 4,Ambulância,Exynor,54390,61,Polaris b,Exylor,54367,36,Arcturus f,Zylorn,78903,285,Deneb a,Cuprita,Amaranto Alienígena,Câmera Celestial
PSLV-XL,Viametro,Dylara,90872,282,Algieba a,Dylara,90865,251,Sirius d,Tylnor,12348,89,Hamal e,Calcita,Quinoa Quântica,Guarda-Chuva OVNI
Tardis,Refugiados,Bustas,10987,441,Sargas c,Job,10902,415,Rigel c,Leandro,56792,220,Polaris f,Olivita,Panquecas de Plasma,Planejador da Nebulosa
Soyuz 2,Cargas,Braxor,56723,491,Aldebaran b,Bralix,56710,180,Sirius c,Vykarn,90126,389,Rigel a,Feldspatita,Salsichas Solares,Cachecol Espaço-Tempo
Zenit-3SL,Policial,Arlynd,43210,22,Aldebaran b,Arlox,43223,401,Sargas e,Xyrdok,23459,171,Capella c,Rodonita,Rolinhos de Repolho Cósmico,Óculos Exo
Atlas II,Ambulância,Zyndra,89076,276,Regulus a,Zalara,89044,76,Alpha Centauri c,Fyndra,67893,419,Arcturus e,Cianita,Tofu de Teletransporte,Esmalte de Unhas da Nebulosa
Delta III,Viametro,Vylthor,45678,179,Castor d,Vylar,45681,214,Polaris c,Zolgar,54324,25,Alpha Centauri f,Pirita,Pizza Planetária,Spinner Telecinético
H-IIB,Cargas,Ugoroth,67890,38,Fomalhaut d,Uthrok,67829,490,Regulus b,Vylara,87657,442,Betelgeuse a,Lepidolita,Strudel de Fruta-Estrela,Diário Interdimensional
Proton-M,Policial,Tylorin,21098,158,Canopus e,Tryndor,21013,133,Alpha Centauri c,Syldor,21001,104,Algieba c,Opalita,Wraps do Buraco de Minhoca,Colar da Nebulosa
GSLV Mk I,Ambulância,Slyndar,78906,284,Hadar a,Sylara,78967,469,Alnilam c,Tyndra,34570,347,Alpha Centauri f,Sodalita,Nectarina Nova,Cobertor da Aurora Boreal
Long March 4B,Refugiados,Rythor,56789,495,Alphard d,Rynak,56778,242,Betelgeuse f,Kryndar,78904,206,Zubeneschamali f,Benitonita,Cheesecake Celestial,Mochila Movida a Plasma
Vega E,Viametro,Pylar,34567,52,Alphard e,Pylor,34529,127,Alphard f,Vorkal,12349,431,Sirius f,Cobrenita,Gumbo Galáctico,Brincos da Nebulosa
Ariane 3,Cargas,Nythara,87654,492,Alpha Centauri a,Nythar,87645,34,Vega c,Zolthar,56793,67,Alphard e,Gessita,Macarrão da Nebulosa,Kit de Maquiagem Cósmica
Vulcan Centaur,Policial,Myndok,13345,311,Betelgeuse f,Myndor,12360,312,Hamal b,Plandor,90127,309,Spica f,Cromonita,Enchiladas Exo,Escova Galáctica
Titan IV,Refugiados,Kyndal,67891,231,Canopus b,Kyndra,67889,173,Spica c,Zandar,23460,93,Arcturus a,Fluorita,Pão de Milho Cósmico,Óculos Quasar
